id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.cercle,children_count.arrondissement,children_count.commune,zip_codes,geo.lat,geo.lon
ML-A050303,3,Arrondissement,Arrondissement,Diondiori,Diondiori,diondiori-050303,ML-A050303,,ML0503,Ténenkou,Tenenkou,,,,1,,14.457,-4.917
ML-A050304,3,Arrondissement,Arrondissement,Sossobé,Sossobé,sossob-050304,ML-A050304,,ML0503,Ténenkou,Tenenkou,,,,1,,14.457,-4.917
ML-A050401,3,Arrondissement,Arrondissement,Youwarou,Youwarou,youwarou-050401,ML-A050401,,ML0504,Youwarou,Youwarou,,,,1,,15.368,-4.263
ML-A050402,3,Arrondissement,Arrondissement,Gathi-Loumo,Gathi-Loumo,gathi-loumo-050402,ML-A050402,,ML0504,Youwarou,Youwarou,,,,1,,15.368,-4.263
ML-A050403,3,Arrondissement,Arrondissement,Guidio-Saré,Guidio-Saré,guidio-sar-050403,ML-A050403,,ML0504,Youwarou,Youwarou,,,,1,,15.368,-4.263
ML-A050404,3,Arrondissement,Arrondissement,Sah,Sah,sah-050404,ML-A050404,,ML0504,Youwarou,Youwarou,,,,1,,15.368,-4.263
ML-A050405,3,Arrondissement,Arrondissement,Ambiri,Ambiri,ambiri-050405,ML-A050405,,ML0504,Youwarou,Youwarou,,,,2,,15.368,-4.263
ML-A050406,3,Arrondissement,Arrondissement,Dogo,Dogo,dogo-050406,ML-A050406,,ML0504,Youwarou,Youwarou,,,,1,,15.368,-4.263
ML-A050501,3,Arrondissement,Arrondissement,Konna,Konna,konna-050501,ML-A050501,,ML0505,Konna,Konna,,,,1,,14.944,-3.89
ML-A050502,3,Arrondissement,Arrondissement,Diambakourou,Diambakourou,diambakourou-050502,ML-A050502,,ML0505,Konna,Konna,,,,1,,14.944,-3.89
ML-A050503,3,Arrondissement,Arrondissement,Kontza,Kontza,kontza-050503,ML-A050503,,ML0505,Konna,Konna,,,,1,,14.944,-3.89
ML-A050601,3,Arrondissement,Arrondissement,Korientzé,Korientzé,korientz-050601,ML-A050601,,ML0506,Korientzé,Korientze,,,,1,,15.394,-3.782
ML-A050602,3,Arrondissement,Arrondissement,N'Gorodia,N'Gorodia,ngorodia-050602,ML-A050602,,ML0506,Korientzé,Korientze,,,,1,,15.394,-3.782
